archival_object_id,archival_object_uris,resource_uri,display_string,updated
305,repositories/2/archival_objects/305,/repositories/2/resources/2,"Faculty meeting minutes, 1865 September 25 - 1874 May 30",True
306,repositories/2/archival_objects/306,/repositories/2/resources/2,"Faculty meeting minutes, 1874 June 12 - 1878 December 28",True
307,repositories/2/archival_objects/307,/repositories/2/resources/2,"Faculty meeting minutes, 1879 January 4 - 1882 April 19",True
308,repositories/2/archival_objects/308,/repositories/2/resources/2,"Faculty meeting minutes, 1882 April 26 - 1886 December 29",True
309,repositories/2/archival_objects/309,/repositories/2/resources/2,"Faculty meeting minutes, 1887 January 12 - 1891 May 19",True
310,repositories/2/archival_objects/310,/repositories/2/resources/2,"Index to minutes, volume 5, 1887 January 12 - 1891 May 19",True
311,repositories/2/archival_objects/311,/repositories/2/resources/2,"Faculty meeting minutes, 1891 May 26 - 1893 September 20",True
312,repositories/2/archival_objects/312,/repositories/2/resources/2,"Index to minutes, volume 6, 1891 May 26 - 1893 September 20",True
313,repositories/2/archival_objects/313,/repositories/2/resources/2,"Faculty meeting minutes, 1893 September 27 - 1895 July 5",True
314,repositories/2/archival_objects/314,/repositories/2/resources/2,"Faculty meeting minutes, 1895 September 14 - 1897 March 17",True
315,repositories/2/archival_objects/315,,,False
316,repositories/2/archival_objects/316,,,False
317,repositories/2/archival_objects/317,,,False
318,repositories/2/archival_objects/318,,,False
319,repositories/2/archival_objects/319,,,False
320,repositories/2/archival_objects/320,,,False
321,repositories/2/archival_objects/321,,,False
322,repositories/2/archival_objects/322,,,False
323,repositories/2/archival_objects/323,,,False
324,repositories/2/archival_objects/324,,,False
325,repositories/2/archival_objects/325,,,False
326,repositories/2/archival_objects/326,,,False
327,repositories/2/archival_objects/327,,,False
328,repositories/2/archival_objects/328,,,False
329,repositories/2/archival_objects/329,,,False
330,repositories/2/archival_objects/330,,,False
331,repositories/2/archival_objects/331,,,False
332,repositories/2/archival_objects/332,,,False
333,repositories/2/archival_objects/333,,,False
334,repositories/2/archival_objects/334,,,False
335,repositories/2/archival_objects/335,,,False
336,repositories/2/archival_objects/336,,,False
337,repositories/2/archival_objects/337,,,False
338,repositories/2/archival_objects/338,,,False
339,repositories/2/archival_objects/339,,,False
340,repositories/2/archival_objects/340,,,False
341,repositories/2/archival_objects/341,,,False
342,repositories/2/archival_objects/342,,,False
